iter	Passed	Remaining
402	13495	19992
403	13532	19963
404	13568	19934
405	13606	19907
406	13642	19877
407	13675	19843
408	13709	19809
409	13744	19778
410	13779	19747
411	13813	19714
412	13847	19682
413	13883	19651
414	13920	19623
415	13955	19591
416	13990	19559
417	14022	19524
418	14057	19492
419	14093	19461
420	14128	19430
421	14161	19395
422	14196	19364
423	14229	19330
424	14266	19302
425	14301	19270
426	14333	19234
427	14367	19200
428	14401	19168
429	14435	19135
430	14470	19104
431	14505	19072
432	14539	19039
433	14574	19006
434	14607	18972
435	14640	18938
436	14675	18907
437	14708	18872
438	14742	18839
439	14776	18806
440	14809	18772
441	14843	18738
442	14878	18707
443	14913	18675
444	14948	18643
445	14984	18612
446	15019	18580
447	15054	18549
448	15088	18516
449	15120	18481
450	15153	18445
451	15185	18410
452	15220	18378
453	15251	18342
454	15285	18308
455	15321	18278
456	15351	18240
457	15381	18202
458	15413	18166
459	15445	18132
460	15479	18098
461	15513	18065
462	15543	18028
463	15576	17993
464	15610	17959
465	15644	17926
466	15679	17895
467	15718	17867
468	15753	17836
469	15789	17805
470	15828	17777
471	15862	17744
472	15897	17712
473	15930	17678
474	15967	17648
475	16004	17618
476	16038	17584
477	16072	17551
478	16107	17519
479	16141	17486
480	16175	17453
481	16212	17423
482	16243	17386
483	16275	17351
484	16310	17319
485	16346	17288
486	16403	17279
487	16457	17266
488	16493	17235
489	16530	17204
490	16565	17172
491	16603	17143
492	16638	17111
493	16673	17078
494	16711	17048
495	16743	17013
496	16777	16979
497	16810	16945
498	16842	16910
499	16878	16878
500	16912	16844
501	16945	16810
502	16980	16777
503	17012	16742
504	17044	16706
505	17080	16675
506	17113	16640
507	17145	16605
508	17179	16572
509	17215	16540
510	17245	16502
511	17280	16470
512	17315	16437
513	17347	16402
514	17383	16370
515	17417	16337
516	17453	16305
517	17487	16271
518	17520	16237
519	17555	16204
520	17589	16171
521	17625	16139
522	17661	16108
523	17697	16076
524	17734	16045
525	17772	16015
526	17811	15986
527	17846	15953
528	17880	15919
529	17919	15890
530	17952	15856
531	17984	15821
532	18025	15793
533	18063	15762
534	18100	15731
535	18138	15701
536	18173	15669
537	18210	15637
538	18246	15606
539	18282	15573
540	18316	15540
541	18351	15506
542	18385	15473
543	18418	15439
544	18452	15405
545	18485	15370
546	18519	15337
547	18554	15304
548	18589	15270
549	18625	15239
550	18657	15203
551	18693	15171
552	18728	15138
553	18763	15105
554	18797	15072
555	18832	15039
556	18866	15005
557	18902	14972
558	18936	14938
559	18969	14904
560	19003	14870
561	19039	14838
562	19075	14806
563	19110	14773
564	19145	14740
565	19180	14707
566	19216	14674
567	19253	14643
568	19287	14609
569	19323	14577
570	19359	14544
571	19394	14512
572	19429	14479
573	19463	14444
574	19498	14411
575	19531	14377
576	19568	14345
577	19603	14312
578	19639	14279
579	19672	14245
580	19709	14213
581	19745	14181
582	19776	14145
583	19808	14110
584	19842	14076
585	19878	14043
586	19913	14010
587	19946	13975
588	19981	13942
589	20016	13909
590	20052	13877
591	20087	13844
592	20123	13811
593	20155	13776
594	20188	13741
595	20221	13707
596	20254	13672
597	20291	13640
598	20328	13608
599	20362	13575
600	20400	13543
601	20437	13511
602	20474	13479
603	20509	13446
604	20544	13413
605	20577	13378
606	20610	13344
607	20644	13310
608	20677	13275
609	20710	13241
610	20744	13207
611	20778	13172
612	20812	13139
613	20847	13106
614	20882	13072
615	20915	13038
616	20948	13003
617	20982	12969
618	21018	12936
619	21053	12904
620	21089	12871
621	21125	12838
622	21160	12804
623	21194	12770
624	21233	12739
625	21270	12707
626	21308	12676
627	21350	12647
628	21388	12615
629	21426	12583
630	21464	12551
631	21506	12522
632	21542	12490
633	21578	12457
634	21612	12423
635	21645	12388
636	21677	12352
637	21712	12319
638	21747	12286
639	21781	12252
640	21818	12219
641	21852	12185
642	21889	12152
643	21925	12120
644	21958	12085
645	21993	12052
646	22027	12018
647	22062	11984
648	22097	11951
649	22131	11917
650	22163	11881
651	22198	11848
652	22231	11813
653	22265	11779
654	22298	11745
655	22336	11713
656	22370	11679
657	22409	11647
658	22444	11613
659	22477	11579
660	22511	11545
661	22547	11512
662	22581	11478
663	22615	11444
664	22653	11412
665	22689	11378
666	22728	11347
667	22767	11315
668	22804	11283
669	22844	11251
670	22881	11219
671	22918	11186
672	22955	11153
673	22989	11119
674	23024	11086
675	23059	11052
676	23092	11017
677	23130	10985
678	23163	10950
679	23193	10914
680	23227	10880
681	23261	10846
682	23294	10811
683	23329	10778
684	23364	10744
685	23397	10709
686	23430	10674
687	23464	10640
688	23498	10606
689	23531	10572
690	23563	10537
691	23600	10504
692	23635	10470
693	23667	10435
694	23703	10402
695	23737	10368
696	23769	10333
697	23804	10299
698	23838	10265
699	23869	10229
700	23903	10195
701	23936	10161
702	23967	10125
703	24001	10091
704	24037	10058
705	24070	10023
706	24105	9989
707	24139	9956
708	24170	9920
709	24204	9886
710	24239	9852
711	24269	9816
712	24304	9783
713	24340	9749
714	24370	9714
715	24404	9680
716	24439	9646
717	24473	9612
718	24506	9577
719	24541	9543
720	24572	9508
721	24606	9474
722	24640	9440
723	24672	9405
724	24704	9370
725	24737	9336
726	24769	9301
727	24802	9266
728	24835	9232
729	24867	9197
730	24901	9163
731	24937	9130
732	24969	9095
733	25002	9060
734	25038	9027
735	25071	8993
736	25109	8960
737	25146	8927
738	25179	8892
739	25215	8859
740	25253	8826
741	25288	8793
742	25324	8759
743	25357	8725
744	25392	8691
745	25425	8656
746	25459	8622
747	25494	8588
748	25528	8554
749	25565	8521
750	25598	8487
751	25633	8453
752	25668	8419
753	25702	8385
754	25736	8351
755	25770	8317
756	25803	8283
757	25836	8248
758	25872	8214
759	25906	8180
760	25939	8146
761	25973	8112
762	26007	8078
763	26040	8043
764	26073	8009
765	26108	7975
766	26142	7941
767	26177	7907
768	26212	7874
769	26247	7840
770	26282	7806
771	26319	7772
772	26356	7740
773	26393	7706
774	26430	7673
775	26468	7640
776	26504	7606
777	26539	7573
778	26574	7539
779	26608	7504
780	26644	7471
781	26678	7437
782	26710	7402
783	26744	7368
784	26777	7334
785	26809	7299
786	26847	7266
787	26882	7232
788	26917	7198
789	26953	7164
790	26988	7130
791	27025	7097
792	27063	7064
793	27098	7030
794	27134	6996
795	27169	6962
796	27203	6928
797	27236	6894
798	27269	6860
799	27303	6825
800	27340	6792
801	27379	6759
802	27429	6729
803	27468	6696
804	27508	6663
805	27547	6630
806	27583	6596
807	27618	6562
808	27651	6528
809	27689	6494
810	27727	6461
811	27764	6428
812	27802	6394
813	27836	6360
814	27870	6326
815	27904	6292
816	27942	6258
817	27974	6224
818	28011	6190
819	28054	6158
820	28088	6124
821	28123	6090
822	28159	6056
823	28194	6022
824	28230	5988
825	28265	5954
826	28299	5919
827	28334	5885
828	28367	5851
829	28400	5817
830	28435	5782
831	28467	5748
832	28502	5714
833	28536	5679
834	28570	5645
835	28606	5611
836	28641	5577
837	28675	5543
838	28709	5509
839	28746	5475
840	28780	5441
841	28813	5406
842	28849	5372
843	28883	5338
844	28916	5304
845	28949	5269
846	28981	5235
847	29014	5200
848	29049	5166
849	29084	5132
850	29114	5097
851	29148	5063
852	29181	5028
853	29215	4994
854	29249	4960
855	29284	4926
856	29321	4892
857	29359	4858
858	29396	4825
859	29430	4791
860	29464	4756
861	29497	4722
862	29530	4687
863	29565	4653
864	29598	4619
865	29632	4585
866	29665	4550
867	29699	4516
868	29733	4482
869	29770	4448
870	29808	4414
871	29846	4381
872	29885	4347
873	29921	4313
874	29955	4279
875	29987	4244
876	30022	4210
877	30056	4176
878	30092	4142
879	30127	4108
880	30163	4074
881	30197	4040
882	30232	4005
883	30266	3971
884	30299	3937
885	30334	3903
886	30368	3868
887	30404	3834
888	30437	3800
889	30471	3766
890	30505	3731
891	30542	3697
892	30575	3663
893	30609	3629
894	30641	3594
895	30674	3560
896	30706	3525
897	30737	3491
898	30771	3457
899	30805	3422
900	30836	3388
901	30870	3353
902	30904	3319
903	30936	3285
904	30969	3250
905	31003	3216
906	31037	3182
907	31070	3148
908	31104	3113
909	31137	3079
910	31172	3045
911	31206	3011
912	31239	2976
913	31275	2942
914	31310	2908
915	31346	2874
916	31381	2840
917	31416	2806
918	31449	2771
919	31488	2738
920	31526	2704
921	31562	2670
922	31597	2636
923	31633	2601
924	31668	2567
925	31703	2533
926	31740	2499
927	31774	2465
928	31809	2431
929	31843	2396
930	31877	2362
931	31912	2328
932	31948	2294
933	31986	2260
934	32017	2225
935	32054	2191
936	32090	2157
937	32126	2123
938	32163	2089
939	32198	2055
940	32231	2020
941	32267	1986
942	32301	1952
943	32332	1918
944	32367	1883
945	32398	1849
946	32432	1815
947	32465	1780
948	32497	1746
949	32529	1712
950	32561	1677
951	32594	1643
952	32626	1609
953	32658	1574
954	32689	1540
955	32722	1506
956	32754	1471
957	32789	1437
