iter	MultiClass
499	0.1740778787
500	0.1739105438
501	0.1735074423
502	0.1732834987
503	0.1731209245
504	0.1729545846
505	0.1724996297
506	0.1722964227
507	0.1720433772
508	0.1717321109
509	0.1715661798
510	0.1714350371
511	0.1711713211
512	0.1709669623
513	0.1705878024
514	0.1703467616
515	0.1699919103
516	0.1696816203
517	0.1692489593
518	0.168944439
519	0.1685532028
520	0.1683892033
521	0.1682763281
522	0.1681002141
523	0.1679310737
524	0.167447996
525	0.167256566
526	0.1670589731
527	0.1667504608
528	0.1664392325
529	0.1662383936
530	0.1659177498
531	0.1657813735
532	0.16559607
533	0.1652077527
534	0.164987075
535	0.1647375939
536	0.1644879538
537	0.1642535419
538	0.1640734731
539	0.1638110955
540	0.1636221952
541	0.1634678844
542	0.1631651436
543	0.1630012184
544	0.1627591534
545	0.1625046689
546	0.1621512361
547	0.1618481608
548	0.1614161206
549	0.1611724877
550	0.1609515365
551	0.1605288109
552	0.1603552942
553	0.1601842571
554	0.159978071
555	0.1595827899
556	0.1594556152
557	0.1591355174
558	0.1590042833
559	0.1587658539
560	0.1586613002
561	0.1584510919
562	0.158206925
563	0.157878458
564	0.15774183
565	0.1574268149
566	0.1571529993
567	0.1566677072
568	0.1565601199
569	0.1562120255
570	0.1559945599
571	0.1557634182
572	0.155533645
573	0.1553724925
574	0.1550936592
575	0.1548092188
576	0.1543356842
577	0.1541154579
578	0.1538622834
579	0.1534814686
580	0.1532156998
581	0.1529972278
582	0.152782113
583	0.1526914464
584	0.1522713429
585	0.1520199178
586	0.1518142222
587	0.1516741416
588	0.1514022984
589	0.1510947035
590	0.1509099432
591	0.150595503
592	0.150230327
593	0.1500431028
594	0.1499036935
595	0.1497267027
596	0.1495578816
597	0.1492107337
598	0.1490604641
599	0.1489715651
600	0.1486395421
601	0.1484430753
602	0.1482729001
603	0.1480266392
604	0.1478658346
605	0.1477783637
606	0.1475633968
607	0.1473795716
608	0.147228903
609	0.1470904191
610	0.1468111962
611	0.1465727084
612	0.1463667831
613	0.1460774024
614	0.1458734702
615	0.1457030384
616	0.1455054807
617	0.145404206
618	0.1452041857
619	0.1449060269
620	0.1447083844
621	0.1445025151
622	0.144169279
623	0.1440307385
624	0.1437242034
625	0.1434702418
626	0.1432761239
627	0.143013984
628	0.1427766886
629	0.1424767587
630	0.1422662985
631	0.1420480315
632	0.1418785843
633	0.1417061411
634	0.1415957967
635	0.1414164024
636	0.1413199366
637	0.1411452499
638	0.1410818118
639	0.1409115261
640	0.1406364628
641	0.1405355638
642	0.1403575836
643	0.1400213021
644	0.1398714697
645	0.1397342756
646	0.1394312843
647	0.1392454331
648	0.1390808454
649	0.1388837143
650	0.1386752409
651	0.138553299
652	0.1382868574
653	0.1380639503
654	0.1377503332
655	0.1376535965
656	0.1373940543
657	0.1371339485
658	0.1370637784
659	0.1369441356
660	0.136654963
661	0.136447225
662	0.136114137
663	0.1359426215
664	0.1358199525
665	0.1356439118
666	0.1353644695
667	0.1352380971
668	0.1350912939
669	0.1349211275
670	0.1347753693
671	0.1345084092
672	0.1343305231
673	0.1342263925
674	0.1340876642
675	0.1338416377
676	0.1336361007
677	0.1332604566
678	0.132995654
679	0.1328446778
680	0.1326953748
681	0.1325481225
682	0.1324617235
683	0.1322400402
684	0.1321009
685	0.1319706225
686	0.1317912946
687	0.1316775172
688	0.1315813418
689	0.1314913143
690	0.1313527543
691	0.1310832633
692	0.1309931645
693	0.1308193073
694	0.1305589388
695	0.1304270926
696	0.1302129385
697	0.130045876
698	0.1298282664
699	0.1296984277
700	0.1295957372
701	0.1294459643
702	0.1293050749
703	0.1291262177
704	0.1290245038
705	0.1289085755
706	0.1287081995
707	0.1285235992
708	0.1283947144
709	0.1281274424
710	0.1279543694
711	0.1278429813
712	0.1275621265
713	0.1274103378
714	0.1273118584
715	0.1271806355
716	0.1269796289
717	0.1268090468
718	0.1267239545
719	0.1266131137
720	0.1264838388
721	0.126314311
722	0.1260096384
723	0.1257113045
724	0.1255568878
725	0.1253247179
726	0.125103042
727	0.1250188383
728	0.1248909294
729	0.1246031809
730	0.1244978462
731	0.1243343812
732	0.1241291946
733	0.1238752968
734	0.1237596942
735	0.1235978627
736	0.1235297816
737	0.1234256563
738	0.123338903
739	0.1231263402
740	0.1229312299
741	0.1227177031
742	0.1224848367
743	0.1222415079
744	0.1221313908
745	0.122029618
746	0.1218740065
747	0.121647822
748	0.1214236288
749	0.1211637442
750	0.1210619377
751	0.1208397859
752	0.1207151993
753	0.1205551789
754	0.1204344543
755	0.1202045924
756	0.120035626
757	0.1198741755
758	0.1197674663
759	0.1196155193
760	0.1194220502
761	0.119159852
762	0.1190567431
763	0.1189104357
764	0.1187536162
765	0.1185077743
766	0.1184129048
767	0.1181916168
768	0.1179661028
769	0.117836964
770	0.1176667643
771	0.117622669
772	0.1174315278
773	0.1171030292
774	0.1170077169
775	0.1168815734
776	0.1167706614
777	0.1166659918
778	0.1164972951
779	0.1163727657
780	0.1162271176
781	0.1160409413
782	0.1158809222
783	0.115825216
784	0.1157306333
785	0.1156705466
786	0.1155558945
787	0.115350311
788	0.1152143667
789	0.1149699186
790	0.1149129526
791	0.1146606921
792	0.1143919797
793	0.114333372
794	0.1142361536
795	0.1140786943
796	0.1140059273
797	0.1138347997
798	0.1137683189
799	0.1136636122
800	0.1135152599
801	0.113364337
802	0.1132230084
803	0.1131036182
804	0.1129761578
805	0.1128389977
806	0.1127484
807	0.1125554449
808	0.1123023481
809	0.1120118007
810	0.1119260681
811	0.1118295491
812	0.1116817631
813	0.1115333221
814	0.111356357
815	0.1112169505
816	0.1109885219
817	0.1108476797
818	0.1107282848
819	0.1104624238
820	0.1102768901
821	0.1101162712
822	0.1099387071
823	0.1097801149
824	0.1096007103
825	0.1094833438
826	0.1092622043
827	0.1091311497
828	0.1089098854
829	0.1087696079
830	0.1086189756
831	0.1084682863
832	0.108279808
833	0.1080730205
834	0.1079998089
835	0.1078930683
836	0.1077996509
837	0.107623636
838	0.1075224239
839	0.107375488
840	0.1073033879
841	0.1071843698
842	0.1069999857
843	0.1067330889
844	0.1064284943
845	0.1062326958
846	0.1061204601
847	0.1060095486
848	0.1058218722
849	0.1056622469
850	0.1055945713
851	0.1054970437
852	0.1053761262
853	0.1051931712
854	0.1050507973
855	0.1049885345
856	0.1048674866
857	0.1046838097
858	0.1045557196
859	0.1044614558
860	0.1043773776
861	0.1042707642
862	0.1041423741
863	0.1039990338
864	0.1039110191
865	0.1038411551
866	0.103717635
867	0.1035065371
868	0.103419407
869	0.1032039684
870	0.1030152164
871	0.1028830456
872	0.1027511553
873	0.102609054
874	0.102508155
875	0.1023530011
876	0.1023133721
877	0.1021719165
878	0.102034978
879	0.1019732251
880	0.1018294249
881	0.1016455983
882	0.1015461305
883	0.1014422865
884	0.1013364747
885	0.1012090184
886	0.1011033879
887	0.101055466
888	0.1009842729
889	0.1008641271
890	0.1007369337
891	0.1006248983
892	0.1005112696
893	0.100384029
894	0.1003358758
895	0.1002636829
896	0.1000880075
897	0.09999210367
898	0.09992173138
899	0.09973385468
900	0.09956312411
901	0.09940137723
902	0.09929021122
903	0.09911386519
904	0.09907715316
905	0.09897092226
906	0.09882322588
907	0.09863522726
908	0.0985045942
909	0.09838094083
910	0.09818961469
911	0.09807685327
912	0.09794535143
913	0.09773041017
914	0.09764403271
915	0.09750156526
916	0.09742465627
917	0.09737685785
918	0.09730664298
919	0.09716209776
920	0.09701345021
921	0.09680089962
922	0.09671093846
923	0.09660203344
924	0.09650308306
925	0.09633961824
926	0.09626085518
927	0.09616662196
928	0.09603103974
929	0.09581597718
930	0.09562114262
931	0.09550702459
932	0.09538842689
933	0.09514764401
934	0.09503607078
935	0.09490708977
936	0.09482276094
937	0.09471158973
938	0.0945491994
939	0.09440289078
940	0.09428489956
941	0.09421218099
942	0.09412738354
943	0.09401442133
944	0.09393926644
945	0.09381339631
946	0.09369464867
947	0.09361121326
948	0.09353588578
949	0.0934695137
950	0.09341292907
951	0.09334502227
952	0.09323824549
953	0.0931199302
954	0.09306751992
955	0.09288992158
956	0.09277449636
957	0.09261004472
958	0.09246905051
959	0.09236086008
960	0.09229160495
961	0.09221665152
962	0.09210625918
963	0.09200226814
964	0.09188846715
965	0.09182614972
966	0.09176630103
967	0.09156317466
968	0.09150113454
969	0.0914550959
970	0.09138385155
971	0.09129493985
972	0.09118989548
973	0.09110549432
974	0.09102111326
975	0.09090759738
976	0.09077337174
977	0.09060667894
978	0.09047746868
979	0.09043194592
980	0.09036766223
981	0.09029406571
982	0.09013761158
983	0.08996996211
984	0.08976739815
985	0.08960911839
986	0.08942021558
987	0.08924605222
988	0.08915217681
989	0.08907204335
990	0.08903940272
991	0.08888273727
992	0.0887167925
993	0.08866248992
994	0.08861362412
995	0.08855972998
996	0.08850064965
997	0.08836654679
998	0.08830024329
999	0.08811734895
